method,path,status,primary_tool,note
PATCH,/api/models/{id}/,covered,update_model,Route-level coverage; see report for field restrictions
DELETE,/api/models/{id}/,covered,delete_model,Route-level coverage; see report for field restrictions
POST,/api/models/{id}/cancel_training/,covered,cancel_model_training,Route-level coverage; see report for field restrictions
GET,/api/projects/,covered,list_projects,Route-level coverage; see report for field restrictions
POST,/api/projects/,covered,create_project,Route-level coverage; see report for field restrictions
GET,/api/projects/{id}/,covered,get_project,Route-level coverage; see report for field restrictions
PUT,/api/projects/{id}/,partial_update_alternative,update_project,"MCP exposes PATCH, not literal PUT replacement semantics"
PATCH,/api/projects/{id}/,covered,update_project,Route-level coverage; see report for field restrictions
DELETE,/api/projects/{id}/,covered,delete_project,Route-level coverage; see report for field restrictions
GET,/api/projects/{id}/ontology/,covered,get_project_ontology,Route-level coverage; see report for field restrictions
DELETE,/api/projects/{id}/ontology/,covered,delete_project_ontology,Route-level coverage; see report for field restrictions
GET,/api/projects/{id}/ontology/export/,covered,export_native_ontology,Route-level coverage; see report for field restrictions
POST,/api/projects/{id}/ontology/import/,covered,import_native_ontology,Route-level coverage; see report for field restrictions
POST,/api/projects/{id}/share/,covered,share_project,Route-level coverage; see report for field restrictions
GET,/api/projects/{project_pk}/tags/,covered,list_tags,Route-level coverage; see report for field restrictions
POST,/api/projects/{project_pk}/tags/,covered,create_tag,Route-level coverage; see report for field restrictions
GET,/api/projects/{project_pk}/tags/{id}/,covered,get_tag,Route-level coverage; see report for field restrictions
PUT,/api/projects/{project_pk}/tags/{id}/,partial_update_alternative,update_tag,"MCP exposes PATCH, not literal PUT replacement semantics"
PATCH,/api/projects/{project_pk}/tags/{id}/,covered,update_tag,Route-level coverage; see report for field restrictions
DELETE,/api/projects/{project_pk}/tags/{id}/,covered,delete_tag,Route-level coverage; see report for field restrictions
GET,/api/scripts/,covered,list_scripts,Route-level coverage; see report for field restrictions
GET,/api/scripts/{id}/,covered,get_script,Direct read-only script lookup by positive ID
GET,/api/tags/project/,covered,list_tags,Route-level coverage; see report for field restrictions
POST,/api/tags/project/,covered,create_tag,Route-level coverage; see report for field restrictions
GET,/api/tags/project/{id}/,covered,get_tag,Route-level coverage; see report for field restrictions
PUT,/api/tags/project/{id}/,partial_update_alternative,update_tag,"MCP exposes PATCH, not literal PUT replacement semantics"
PATCH,/api/tags/project/{id}/,covered,update_tag,Route-level coverage; see report for field restrictions
DELETE,/api/tags/project/{id}/,covered,delete_tag,Route-level coverage; see report for field restrictions
GET,/api/tasks/,covered,list_tasks,Route-level coverage; see report for field restrictions
POST,/api/tasks/,not_exposed,,Unexposed task-history CRUD; not job submission
GET,/api/tasks/{id}/,covered,get_task,Route-level coverage; see report for field restrictions
PUT,/api/tasks/{id}/,not_exposed,,Unexposed task-history CRUD; not job control
PATCH,/api/tasks/{id}/,not_exposed,,Unexposed task-history CRUD; not job control
DELETE,/api/tasks/{id}/,not_exposed,,Unexposed task-history CRUD; not job control
GET,/api/textual-witnesses/,covered,list_textual_witnesses,Route-level coverage; see report for field restrictions
POST,/api/textual-witnesses/,covered,upload_textual_witness,Route-level coverage; see report for field restrictions
GET,/api/textual-witnesses/{id}/,covered,get_textual_witness,Route-level coverage; see report for field restrictions
PUT,/api/textual-witnesses/{id}/,partial_update_alternative,update_textual_witness,"MCP exposes PATCH, not literal PUT replacement semantics"
PATCH,/api/textual-witnesses/{id}/,covered,update_textual_witness,Route-level coverage; see report for field restrictions
DELETE,/api/textual-witnesses/{id}/,covered,delete_textual_witness,Route-level coverage; see report for field restrictions
POST,/api/token-auth/,not_exposed,,Credential setup/rotation outside MCP tools
GET,/api/types/annotations/,covered,list_ontology_types,Route-level coverage; see report for field restrictions
POST,/api/types/annotations/,covered,create_ontology_type,Route-level coverage; see report for field restrictions
GET,/api/types/annotations/{id}/,covered,get_ontology_type,Route-level coverage; see report for field restrictions
PUT,/api/types/annotations/{id}/,partial_update_alternative,update_ontology_type,"MCP exposes PATCH, not literal PUT replacement semantics"
PATCH,/api/types/annotations/{id}/,covered,update_ontology_type,Route-level coverage; see report for field restrictions
DELETE,/api/types/annotations/{id}/,covered,delete_ontology_type,Route-level coverage; see report for field restrictions
GET,/api/types/block/,covered,list_ontology_types,Route-level coverage; see report for field restrictions
POST,/api/types/block/,covered,create_ontology_type,Route-level coverage; see report for field restrictions
GET,/api/types/block/{id}/,covered,get_ontology_type,Route-level coverage; see report for field restrictions
PUT,/api/types/block/{id}/,partial_update_alternative,update_ontology_type,"MCP exposes PATCH, not literal PUT replacement semantics"
PATCH,/api/types/block/{id}/,covered,update_ontology_type,Route-level coverage; see report for field restrictions
DELETE,/api/types/block/{id}/,covered,delete_ontology_type,Route-level coverage; see report for field restrictions
GET,/api/types/line/,covered,list_ontology_types,Route-level coverage; see report for field restrictions
POST,/api/types/line/,covered,create_ontology_type,Route-level coverage; see report for field restrictions
GET,/api/types/line/{id}/,covered,get_ontology_type,Route-level coverage; see report for field restrictions
PUT,/api/types/line/{id}/,partial_update_alternative,update_ontology_type,"MCP exposes PATCH, not literal PUT replacement semantics"
PATCH,/api/types/line/{id}/,covered,update_ontology_type,Route-level coverage; see report for field restrictions
DELETE,/api/types/line/{id}/,covered,delete_ontology_type,Route-level coverage; see report for field restrictions
GET,/api/types/part/,covered,list_ontology_types,Route-level coverage; see report for field restrictions
POST,/api/types/part/,covered,create_ontology_type,Route-level coverage; see report for field restrictions
GET,/api/types/part/{id}/,covered,get_ontology_type,Route-level coverage; see report for field restrictions
PUT,/api/types/part/{id}/,partial_update_alternative,update_ontology_type,"MCP exposes PATCH, not literal PUT replacement semantics"
PATCH,/api/types/part/{id}/,covered,update_ontology_type,Route-level coverage; see report for field restrictions
DELETE,/api/types/part/{id}/,covered,delete_ontology_type,Route-level coverage; see report for field restrictions
GET,/api/users/,covered,list_users,Route-level coverage; see report for field restrictions
POST,/api/users/,covered,create_user,Route-level coverage; see report for field restrictions
GET,/api/users/{id}/,covered,get_user,Route-level coverage; see report for field restrictions
PUT,/api/users/{id}/,partial_update_alternative,update_user,"MCP exposes PATCH, not literal PUT replacement semantics"
PATCH,/api/users/{id}/,covered,update_user,Route-level coverage; see report for field restrictions
DELETE,/api/users/{id}/,covered,delete_user,Route-level coverage; see report for field restrictions
GET,/api/users/current/,covered,get_current_user,Route-level coverage; see report for field restrictions
